2013-02-15 18:25:36 Debug: Notice (8): Undefined variable: groups in [Q:\projetosPHP\FNRCake\app\View\Groups\index.ctp, line 12]
Trace:
include - APP\View\Groups\index.ctp, line 12
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::render() - CORE\Cake\View\View.php, line 475
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 18:25:36 Debug: Notice (8): Undefined index: count in [Q:\projetosPHP\FNRCake\lib\Cake\View\Helper\PaginatorHelper.php, line 590]
Trace:
PaginatorHelper::counter() - CORE\Cake\View\Helper\PaginatorHelper.php, line 590
include - APP\View\Groups\index.ctp, line 30
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::render() - CORE\Cake\View\View.php, line 475
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 18:25:36 Debug: Notice (8): Undefined index: limit in [Q:\projetosPHP\FNRCake\lib\Cake\View\Helper\PaginatorHelper.php, line 593]
Trace:
PaginatorHelper::counter() - CORE\Cake\View\Helper\PaginatorHelper.php, line 593
include - APP\View\Groups\index.ctp, line 30
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::render() - CORE\Cake\View\View.php, line 475
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 18:25:36 Debug: Notice (8): Undefined index: count in [Q:\projetosPHP\FNRCake\lib\Cake\View\Helper\PaginatorHelper.php, line 594]
Trace:
PaginatorHelper::counter() - CORE\Cake\View\Helper\PaginatorHelper.php, line 594
include - APP\View\Groups\index.ctp, line 30
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::render() - CORE\Cake\View\View.php, line 475
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 18:25:36 Debug: Notice (8): Undefined index: count in [Q:\projetosPHP\FNRCake\lib\Cake\View\Helper\PaginatorHelper.php, line 595]
Trace:
PaginatorHelper::counter() - CORE\Cake\View\Helper\PaginatorHelper.php, line 595
include - APP\View\Groups\index.ctp, line 30
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::render() - CORE\Cake\View\View.php, line 475
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 18:25:36 Debug: Notice (8): Undefined index: page in [Q:\projetosPHP\FNRCake\lib\Cake\View\Helper\PaginatorHelper.php, line 611]
Trace:
PaginatorHelper::counter() - CORE\Cake\View\Helper\PaginatorHelper.php, line 611
include - APP\View\Groups\index.ctp, line 30
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::render() - CORE\Cake\View\View.php, line 475
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 18:25:36 Debug: Notice (8): Undefined index: current in [Q:\projetosPHP\FNRCake\lib\Cake\View\Helper\PaginatorHelper.php, line 613]
Trace:
PaginatorHelper::counter() - CORE\Cake\View\Helper\PaginatorHelper.php, line 613
include - APP\View\Groups\index.ctp, line 30
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::render() - CORE\Cake\View\View.php, line 475
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 18:25:36 Debug: Notice (8): Undefined index: count in [Q:\projetosPHP\FNRCake\lib\Cake\View\Helper\PaginatorHelper.php, line 614]
Trace:
PaginatorHelper::counter() - CORE\Cake\View\Helper\PaginatorHelper.php, line 614
include - APP\View\Groups\index.ctp, line 30
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::render() - CORE\Cake\View\View.php, line 475
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 18:25:36 Debug: Notice (8): Undefined index: pageCount in [Q:\projetosPHP\FNRCake\lib\Cake\View\Helper\PaginatorHelper.php, line 674]
Trace:
PaginatorHelper::numbers() - CORE\Cake\View\Helper\PaginatorHelper.php, line 674
include - APP\View\Groups\index.ctp, line 36
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::render() - CORE\Cake\View\View.php, line 475
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 19:09:11 Debug: Notice (8): Undefined index: Auth in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 16]
Trace:
include - APP\View\Layouts\default.ctp, line 16
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 19:09:11 Debug: Notice (8): Undefined index: Auth in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 37]
Trace:
include - APP\View\Layouts\default.ctp, line 37
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 19:09:11 Debug: Notice (8): Undefined index: Auth in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 39]
Trace:
include - APP\View\Layouts\default.ctp, line 39
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 19:09:13 Debug: Notice (8): Undefined index: Auth in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 16]
Trace:
include - APP\View\Layouts\default.ctp, line 16
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 19:09:13 Debug: Notice (8): Undefined index: Auth in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 37]
Trace:
include - APP\View\Layouts\default.ctp, line 37
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 19:09:13 Debug: Notice (8): Undefined index: Auth in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 39]
Trace:
include - APP\View\Layouts\default.ctp, line 39
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 19:09:18 Debug: Notice (8): Undefined index: Auth in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 16]
Trace:
include - APP\View\Layouts\default.ctp, line 16
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
